1;For Those About To Rock (We Salute You);For Those About To Rock We Salute You;AC/DC
2;Balls to the Wall;Balls to the Wall;Accept
3;Fast As a Shark;Restless and Wild;Accept
4;Restless and Wild;Restless and Wild;Accept
5;Princess of the Dawn;Restless and Wild;Accept
6;Put The Finger On You;For Those About To Rock We Salute You;AC/DC
7;Let's Get It Up;For Those About To Rock We Salute You;AC/DC
8;Inject The Venom;For Those About To Rock We Salute You;AC/DC
9;Snowballed;For Those About To Rock We Salute You;AC/DC
10;Evil Walks;For Those About To Rock We Salute You;AC/DC
11;C.O.D.;For Those About To Rock We Salute You;AC/DC
12;Breaking The Rules;For Those About To Rock We Salute You;AC/DC
13;Night Of The Long Knives;For Those About To Rock We Salute You;AC/DC
14;Spellbound;For Those About To Rock We Salute You;AC/DC
15;Go Down;Let There Be Rock;AC/DC
16;Dog Eat Dog;Let There Be Rock;AC/DC
17;Let There Be Rock;Let There Be Rock;AC/DC
18;Bad Boy Boogie;Let There Be Rock;AC/DC
19;Problem Child;Let There Be Rock;AC/DC
20;Overdose;Let There Be Rock;AC/DC
21;Hell Ain't A Bad Place To Be;Let There Be Rock;AC/DC
22;Whole Lotta Rosie;Let There Be Rock;AC/DC
23;Walk On Water;Big Ones;Aerosmith
24;Love In An Elevator;Big Ones;Aerosmith
25;Rag Doll;Big Ones;Aerosmith
26;What It Takes;Big Ones;Aerosmith
27;Dude (Looks Like A Lady);Big Ones;Aerosmith
28;Janie's Got A Gun;Big Ones;Aerosmith
29;Cryin';Big Ones;Aerosmith
30;Amazing;Big Ones;Aerosmith
31;Blind Man;Big Ones;Aerosmith
32;Deuces Are Wild;Big Ones;Aerosmith
33;The Other Side;Big Ones;Aerosmith
34;Crazy;Big Ones;Aerosmith
35;Eat The Rich;Big Ones;Aerosmith
36;Angel;Big Ones;Aerosmith
37;Livin' On The Edge;Big Ones;Aerosmith
38;All I Really Want;Jagged Little Pill;Alanis Morissette
39;You Oughta Know;Jagged Little Pill;Alanis Morissette
40;Perfect;Jagged Little Pill;Alanis Morissette
41;Hand In My Pocket;Jagged Little Pill;Alanis Morissette
42;Right Through You;Jagged Little Pill;Alanis Morissette
43;Forgiven;Jagged Little Pill;Alanis Morissette
44;You Learn;Jagged Little Pill;Alanis Morissette
45;Head Over Feet;Jagged Little Pill;Alanis Morissette
46;Mary Jane;Jagged Little Pill;Alanis Morissette
47;Ironic;Jagged Little Pill;Alanis Morissette
48;Not The Doctor;Jagged Little Pill;Alanis Morissette
49;Wake Up;Jagged Little Pill;Alanis Morissette
